Timestep,Dakar,Diourbel,Thies,LS,FKK,ZS,MTKK
0,260.39437375971419897,260.79544910071416552,260.5678440797141775,260.9518714767141887,260.92615001671418895,260.95901965071419681,260.10515686571420702
1,260.39437375971419897,260.79544910071416552,260.5678440797141775,260.9518714767141887,260.92615001671418895,260.95901965071419681,260.10515686571420702
2,259.73934384871421344,260.14041918971417999,259.91281416871419196,260.29684156571420317,260.27112010571420342,260.95901965071419681,260.10515686571420702
3,258.7523874577142351,259.15346279871420165,258.92585777771421363,259.30988517471422483,259.28416371471422508,259.97206325971421847,260.10515686571420702
4,258.7523874577142351,259.15346279871420165,258.92585777771421363,259.30988517471422483,259.28416371471422508,259.97206325971421847,260.10515686571420702
5,259.40469364069150515,259.80576898169147171,259.57816396069148368,259.96219135769149489,259.93646989769149513,260.62436944269148853,260.10515686571420702
6,260.39437375971419897,260.79544910071416552,260.5678440797141775,260.9518714767141887,260.92615001671418895,260.95901965071419681,260.10515686571420702
7,260.39437375971419897,260.79544910071416552,260.5678440797141775,260.9518714767141887,260.92615001671418895,260.95901965071419681,260.10515686571420702
8,260.39437375971419897,260.79544910071416552,260.5678440797141775,260.9518714767141887,260.92615001671418895,260.95901965071419681,260.10515686571420702
9,260.39437375971419897,260.79544910071416552,260.5678440797141775,260.9518714767141887,260.92615001671418895,260.95901965071419681,260.10515686571420702
10,258.7523874577142351,259.15346279871420165,258.92585777771421363,259.30988517471422483,259.28416371471422508,259.97206325971421847,260.10515686571420702
11,122.67001124917980803,123.07108659017981722,122.84348156917981498,123.22750896617981198,123.20178750617981223,123.88968705117980562,124.02278065717980837
12,122.67001124917980803,123.07108659017981722,122.84348156917981498,123.22750896617981198,123.20178750617981223,123.88968705117980562,124.02278065717980837
13,122.66583524917980697,123.06691059017981615,122.83930556917981392,123.22333296617981091,123.19761150617981116,123.88551105117980455,124.0186046571798073
14,122.66583524917980697,123.06691059017981615,122.83930556917981392,123.22333296617981091,123.19761150617981116,123.88551105117980455,124.0186046571798073
15,122.67001124917980803,123.07108659017981722,122.84348156917981498,123.22750896617981198,123.20178750617981223,123.88968705117980562,124.02278065717980837
16,259.73934384871421344,260.14041918971417999,259.91281416871419196,260.29684156571420317,260.27112010571420342,260.95901965071419681,260.10515686571420702
17,260.39437375971419897,260.79544910071416552,260.5678440797141775,260.9518714767141887,260.92615001671418895,260.95901965071419681,260.10515686571420702
18,260.39640140579655281,260.79747674679651936,260.56987172579653134,260.95389912279654254,260.92615001671418895,260.95901965071419681,260.10515686571420702
19,260.56390744636070167,260.96498278736066823,260.7373777663606802,261.1214051633606914,261.09568370336069165,261.12855333736069952,260.27469055236070972
20,260.56684190118772904,260.96791724218769559,260.74031222118770756,261.12433961818771877,261.09861815818771902,261.13148779218772688,260.27762500718773708
21,260.56390744636070167,260.96498278736066823,260.7373777663606802,261.1214051633606914,261.09568370336069165,261.12855333736069952,260.27469055236070972
22,260.56390744636070167,260.96498278736066823,260.7373777663606802,261.1214051633606914,261.09568370336069165,261.12855333736069952,260.27469055236070972
23,260.56390744636070167,260.96498278736066823,260.7373777663606802,261.1214051633606914,261.09568370336069165,261.12855333736069952,260.27469055236070972
24,260.39640140579655281,260.79747674679651936,260.56987172579653134,260.95389912279654254,260.92817766279654279,260.96104729679655065,260.10718451179656086
25,260.39640140579655281,260.79747674679651936,260.56987172579653134,260.95389912279654254,260.92615001671418895,260.95901965071419681,260.10515686571420702
26,260.39437375971419897,260.79544910071416552,260.5678440797141775,260.9518714767141887,260.92615001671418895,260.95901965071419681,260.10515686571420702
27,260.39437375971419897,260.79544910071416552,260.5678440797141775,260.9518714767141887,260.92615001671418895,260.95901965071419681,260.10515686571420702
28,260.39437375971419897,260.79544910071416552,260.5678440797141775,260.9518714767141887,260.92615001671418895,260.95901965071419681,260.10515686571420702
29,260.39437375971419897,260.79544910071416552,260.5678440797141775,260.9518714767141887,260.92615001671418895,260.95901965071419681,260.10515686571420702
30,260.39437375971419897,260.79544910071416552,260.5678440797141775,260.9518714767141887,260.92615001671418895,260.95901965071419681,260.10515686571420702
31,260.39437375971419897,260.79544910071416552,260.5678440797141775,260.9518714767141887,260.92615001671418895,260.95901965071419681,260.10515686571420702
32,260.39437375971419897,260.79544910071416552,260.5678440797141775,260.9518714767141887,260.92615001671418895,260.95901965071419681,260.10515686571420702
33,260.39437375971419897,260.79544910071416552,260.5678440797141775,260.9518714767141887,260.92615001671418895,260.95901965071419681,260.10515686571420702
34,258.7523874577142351,259.15346279871420165,258.92585777771421363,259.30988517471422483,259.28416371471422508,259.97206325971421847,260.10515686571420702
35,122.67001124917980803,123.07108659017981722,122.84348156917981498,123.22750896617981198,123.20178750617981223,123.88968705117980562,124.02278065717980837
36,122.67001124917980803,123.07108659017981722,122.84348156917981498,123.22750896617981198,123.20178750617981223,123.88968705117980562,124.02278065717980837
37,122.66583524917980697,123.06691059017981615,122.83930556917981392,123.22333296617981091,123.19761150617981116,123.88551105117980455,124.0186046571798073
38,122.66583524917980697,123.06691059017981615,122.83930556917981392,123.22333296617981091,123.19761150617981116,123.88551105117980455,124.0186046571798073
39,122.67001124917980803,123.07108659017981722,122.84348156917981498,123.22750896617981198,123.20178750617981223,123.88968705117980562,124.02278065717980837
40,122.67001124917980803,123.07108659017981722,122.84348156917981498,123.22750896617981198,123.20178750617981223,123.88968705117980562,124.02278065717980837
41,259.73934384871421344,260.14041918971417999,259.91281416871419196,260.29684156571420317,260.27112010571420342,260.95901965071419681,260.10515686571420702
42,260.39437375971419897,260.79544910071416552,260.5678440797141775,260.9518714767141887,260.92615001671418895,260.95901965071419681,260.10515686571420702
43,260.56390744636070167,260.96498278736066823,260.7373777663606802,261.1214051633606914,261.09568370336069165,261.12855333736069952,260.27469055236070972
44,260.56684190118767219,260.96791724218763875,260.74031222118765072,261.12433961818766193,261.09861815818766217,261.13148779218767004,260.27762500718768024
45,260.56390744636070167,260.96498278736066823,260.7373777663606802,261.1214051633606914,261.09568370336069165,261.12855333736069952,260.27469055236070972
46,260.56390744636070167,260.96498278736066823,260.7373777663606802,261.1214051633606914,261.09568370336069165,261.12855333736069952,260.27469055236070972
47,260.56390744636070167,260.96498278736066823,260.7373777663606802,261.1214051633606914,261.09568370336069165,261.12855333736069952,260.27469055236070972
48,260.39640140579655281,260.79747674679651936,260.56987172579653134,260.95389912279654254,260.92817766279654279,260.96104729679655065,260.10718451179656086
49,260.39640140579655281,260.79747674679651936,260.56987172579653134,260.95389912279654254,260.92615001671418895,260.95901965071419681,260.10515686571420702
50,260.39437375971419897,260.79544910071416552,260.5678440797141775,260.9518714767141887,260.92615001671418895,260.95901965071419681,260.10515686571420702
51,260.39437375971419897,260.79544910071416552,260.5678440797141775,260.9518714767141887,260.92615001671418895,260.95901965071419681,260.10515686571420702
52,259.73934384871421344,260.14041918971417999,259.91281416871419196,260.29684156571420317,260.27112010571420342,260.95901965071419681,260.10515686571420702
53,259.40469364069150515,259.80576898169147171,259.57816396069148368,259.96219135769149489,259.93646989769149513,260.62436944269148853,260.10515686571420702
54,259.40469364069150515,259.80576898169147171,259.57816396069148368,259.96219135769149489,259.93646989769149513,260.62436944269148853,260.10515686571420702
55,258.7523874577142351,259.15346279871420165,258.92585777771421363,259.30988517471422483,259.28416371471422508,259.97206325971421847,260.10515686571420702
56,122.67001124917980803,123.07108659017981722,122.84348156917981498,123.22750896617981198,123.20178750617981223,123.88968705117980562,124.02278065717980837
57,122.67001124917980803,123.07108659017981722,122.84348156917981498,123.22750896617981198,123.20178750617981223,123.88968705117980562,124.02278065717980837
58,122.67001124917980803,123.07108659017981722,122.84348156917981498,123.22750896617981198,123.20178750617981223,123.88968705117980562,124.02278065717980837
59,87.068684400162354109,87.469759741162363298,87.242154720162361059,87.626182117162358054,87.600460657162358302,88.288360202162351698,88.421453808162354449
60,87.063625015546975305,87.291230036546977544,87.063625015546975305,87.4476524125469723,87.421930952546972549,88.109830497546965944,88.242924103546968695
61,87.063625015546975305,87.291230036546977544,87.063625015546975305,87.4476524125469723,87.421930952546972549,88.109830497546965944,88.242924103546968695
62,87.068684400162354109,87.305846036546981281,87.078241015546979042,87.462268412546976037,87.436546952546976286,88.124446497546969681,88.257540103546972432
63,87.068684400162354109,87.305846036546981281,87.078241015546979042,87.462268412546976037,87.436546952546976286,88.124446497546969681,88.257540103546972432
64,122.67001124917980803,123.07108659017981722,122.84348156917981498,123.22750896617981198,123.20178750617981223,123.88968705117980562,124.02278065717980837
65,258.7523874577142351,259.15346279871420165,258.92585777771421363,259.30988517471422483,259.28416371471422508,259.97206325971421847,260.10515686571420702
66,260.39437375971419897,260.79544910071416552,260.5678440797141775,260.9518714767141887,260.92615001671418895,260.95901965071419681,260.10515686571420702
67,260.41126441949518266,260.81233976049514922,260.58473473949516119,260.9687621364951724,260.94304067649517265,260.97591031049518051,260.12204752549519071
68,260.39640140579655281,260.79747674679651936,260.56987172579653134,260.95389912279654254,260.92817766279654279,260.96104729679655065,260.10718451179656086
69,260.39437375971419897,260.79544910071416552,260.5678440797141775,260.9518714767141887,260.92615001671418895,260.95901965071419681,260.10515686571420702
70,260.39437375971419897,260.79544910071416552,260.5678440797141775,260.9518714767141887,260.92615001671418895,260.95901965071419681,260.10515686571420702
71,260.39437375971419897,260.79544910071416552,260.5678440797141775,260.9518714767141887,260.92615001671418895,260.95901965071419681,260.10515686571420702
72,260.39437375971419897,260.79544910071416552,260.5678440797141775,260.9518714767141887,260.92615001671418895,260.95901965071419681,260.10515686571420702
73,259.73934384871421344,260.14041918971417999,259.91281416871419196,260.29684156571420317,260.27112010571420342,260.95901965071419681,260.10515686571420702
74,259.40469364069150515,259.80576898169147171,259.57816396069148368,259.96219135769149489,259.93646989769149513,260.62436944269148853,260.10515686571420702
75,258.7523874577142351,259.15346279871420165,258.92585777771421363,259.30988517471422483,259.28416371471422508,259.97206325971421847,260.10515686571420702
76,122.66583524917980697,123.06691059017981615,122.83930556917981392,123.22333296617981091,123.19761150617981116,123.88551105117980455,124.0186046571798073
77,122.66583524917980697,123.06691059017981615,122.83930556917981392,123.22333296617981091,123.19761150617981116,123.88551105117980455,124.0186046571798073
78,258.7523874577142351,259.15346279871420165,258.92585777771421363,259.30988517471422483,259.28416371471422508,259.97206325971421847,260.10515686571420702
79,259.52855208818010624,259.9296274291800728,259.70202240818008477,260.08604980518009597,260.06032834518009622,260.74822789018008962,260.10515686571420702
80,259.40469364069150515,259.80576898169147171,259.57816396069148368,259.96219135769149489,259.93646989769149513,260.62436944269148853,260.10515686571420702
81,258.7523874577142351,259.15346279871420165,258.92585777771421363,259.30988517471422483,259.28416371471422508,259.97206325971421847,260.10515686571420702
