Period,Scenario,LoadLevel,RES_Hydro_Large
2030,sc01,01-17 05:00:00+01:00,-77.21278822483269
2030,sc01,01-17 07:00:00+01:00,-77.21278822483269
2030,sc01,01-17 09:00:00+01:00,-77.21278822483269
2030,sc01,01-17 11:00:00+01:00,-77.21278822483269
2030,sc01,01-17 13:00:00+01:00,-77.21278822483269
2030,sc01,01-17 15:00:00+01:00,-77.21278822483269
2030,sc01,01-17 17:00:00+01:00,-77.21278822483269
2030,sc01,01-17 19:00:00+01:00,-77.21278822483269
2030,sc01,01-17 21:00:00+01:00,-77.21278822483269
2030,sc01,01-17 23:00:00+01:00,-77.21278822483269
2030,sc01,01-18 01:00:00+01:00,-77.21278822483269
2030,sc01,01-18 03:00:00+01:00,-77.21278822483269
2030,sc01,01-18 05:00:00+01:00,-77.21278822483269
2030,sc01,01-18 07:00:00+01:00,-77.21278822483269
2030,sc01,01-18 09:00:00+01:00,-77.21278822483269
2030,sc01,01-18 11:00:00+01:00,-77.21278822483269
2030,sc01,01-18 13:00:00+01:00,-77.21278822483269
2030,sc01,01-18 15:00:00+01:00,-77.21278822483269
2030,sc01,01-18 17:00:00+01:00,-77.21278822483269
2030,sc01,01-18 19:00:00+01:00,-77.21278822483269
2030,sc01,01-18 21:00:00+01:00,-77.21278822483269
2030,sc01,01-18 23:00:00+01:00,-77.21278822483269
2030,sc01,01-19 01:00:00+01:00,-77.21278822483269
2030,sc01,01-19 03:00:00+01:00,-77.21278822483269
2030,sc01,01-19 05:00:00+01:00,-77.21278822483269
2030,sc01,01-19 07:00:00+01:00,-77.21278822483269
2030,sc01,01-19 09:00:00+01:00,-77.21278822483269
2030,sc01,01-19 11:00:00+01:00,-77.21278822483269
2030,sc01,01-19 13:00:00+01:00,-77.21278822483269
2030,sc01,01-19 15:00:00+01:00,-77.21278822483269
2030,sc01,01-19 17:00:00+01:00,-77.21278822483269
2030,sc01,01-19 19:00:00+01:00,-77.21278822483269
2030,sc01,01-19 21:00:00+01:00,-77.21278822483269
2030,sc01,01-19 23:00:00+01:00,-77.21278822483269
2030,sc01,01-20 01:00:00+01:00,-77.21278822483269
2030,sc01,01-20 03:00:00+01:00,-77.21278822483269
2030,sc01,01-20 05:00:00+01:00,-77.21278822483269
2030,sc01,01-20 07:00:00+01:00,-77.21278822483269
2030,sc01,01-20 09:00:00+01:00,-77.21278822483269
2030,sc01,01-20 11:00:00+01:00,-77.21278822483269
2030,sc01,01-20 13:00:00+01:00,-77.21278822483269
2030,sc01,01-20 15:00:00+01:00,-77.21278822483269
2030,sc01,01-20 17:00:00+01:00,-77.21278822483269
2030,sc01,01-20 19:00:00+01:00,-77.21278822483269
2030,sc01,01-20 21:00:00+01:00,-77.21278822483269
2030,sc01,01-20 23:00:00+01:00,-77.21278822483269
2030,sc01,01-21 01:00:00+01:00,-77.21278822483269
2030,sc01,01-21 03:00:00+01:00,-77.21278822483269
2030,sc01,01-21 05:00:00+01:00,-77.21278822483269
2030,sc01,01-21 07:00:00+01:00,-77.21278822483269
2030,sc01,01-21 09:00:00+01:00,-77.21278822483269
2030,sc01,01-21 11:00:00+01:00,-77.21278822483269
2030,sc01,01-21 13:00:00+01:00,-77.21278822483269
2030,sc01,01-21 15:00:00+01:00,-77.21278822483269
2030,sc01,01-21 17:00:00+01:00,-77.21278822483269
2030,sc01,01-21 19:00:00+01:00,-77.21278822483269
2030,sc01,01-21 21:00:00+01:00,-77.21278822483269
2030,sc01,01-21 23:00:00+01:00,-77.21278822483269
2030,sc01,01-22 01:00:00+01:00,-77.21278822483269
2030,sc01,01-22 03:00:00+01:00,-77.21278822483269
2030,sc01,01-22 05:00:00+01:00,-77.21278822483269
2030,sc01,01-22 07:00:00+01:00,-77.21278822483269
2030,sc01,01-22 09:00:00+01:00,-77.21278822483269
2030,sc01,01-22 11:00:00+01:00,-77.21278822483269
2030,sc01,01-22 13:00:00+01:00,-77.21278822483269
2030,sc01,01-22 15:00:00+01:00,-77.21278822483269
2030,sc01,01-22 17:00:00+01:00,-77.21278822483269
2030,sc01,01-22 19:00:00+01:00,-77.21278822483269
2030,sc01,01-22 21:00:00+01:00,-77.21278822483269
2030,sc01,01-22 23:00:00+01:00,-77.21278822483269
2030,sc01,01-23 01:00:00+01:00,-77.21278822483269
2030,sc01,01-23 03:00:00+01:00,-77.21278822483269
2030,sc01,01-23 05:00:00+01:00,-77.21278822483269
2030,sc01,01-23 07:00:00+01:00,-77.21278822483269
2030,sc01,01-23 09:00:00+01:00,-77.21278822483269
2030,sc01,01-23 11:00:00+01:00,-77.21278822483269
2030,sc01,01-23 13:00:00+01:00,-77.21278822483269
2030,sc01,01-23 15:00:00+01:00,-77.21278822483269
2030,sc01,01-23 17:00:00+01:00,-77.21278822483269
2030,sc01,01-23 19:00:00+01:00,-77.21278822483269
2030,sc01,01-23 21:00:00+01:00,-77.21278822483269
2030,sc01,01-23 23:00:00+01:00,-77.21278822483269
2030,sc01,01-24 01:00:00+01:00,-77.21278822483269
2030,sc01,01-24 03:00:00+01:00,-77.21278822483269
2030,sc01,01-24 05:00:00+01:00,-77.21278822483269
2030,sc01,01-24 07:00:00+01:00,-77.21278822483269
2030,sc01,01-24 09:00:00+01:00,-77.21278822483269
2030,sc01,01-24 11:00:00+01:00,-77.21278822483269
2030,sc01,01-24 13:00:00+01:00,-77.21278822483269
2030,sc01,01-24 15:00:00+01:00,-77.21278822483269
2030,sc01,01-24 17:00:00+01:00,-77.21278822483269
2030,sc01,01-24 19:00:00+01:00,-77.21278822483269
2030,sc01,01-24 21:00:00+01:00,-77.21278822483269
2030,sc01,01-24 23:00:00+01:00,-77.21278822483269
2030,sc01,01-25 01:00:00+01:00,-77.21278822483269
2030,sc01,01-25 03:00:00+01:00,-77.21278822483269
2030,sc01,01-25 05:00:00+01:00,-77.21278822483269
2030,sc01,01-25 07:00:00+01:00,-77.21278822483269
2030,sc01,01-25 09:00:00+01:00,-77.21278822483269
2030,sc01,01-25 11:00:00+01:00,-77.21278822483269
2030,sc01,01-25 13:00:00+01:00,-77.21278822483269
2030,sc01,01-25 15:00:00+01:00,-77.21278822483269
2030,sc01,01-25 17:00:00+01:00,-77.21278822483269
2030,sc01,01-25 19:00:00+01:00,-77.21278822483269
2030,sc01,01-25 21:00:00+01:00,-77.21278822483269
2030,sc01,01-25 23:00:00+01:00,-77.21278822483269
2030,sc01,01-26 01:00:00+01:00,-77.21278822483269
2030,sc01,01-26 03:00:00+01:00,-77.21278822483269
2030,sc01,01-26 05:00:00+01:00,-77.21278822483269
2030,sc01,01-26 07:00:00+01:00,-77.21278822483269
2030,sc01,01-26 09:00:00+01:00,-77.21278822483269
2030,sc01,01-26 11:00:00+01:00,-77.21278822483269
2030,sc01,01-26 13:00:00+01:00,-77.21278822483269
2030,sc01,01-26 15:00:00+01:00,-77.21278822483269
2030,sc01,01-26 17:00:00+01:00,-77.21278822483269
2030,sc01,01-26 19:00:00+01:00,-77.21278822483269
2030,sc01,01-26 21:00:00+01:00,-77.21278822483269
2030,sc01,01-26 23:00:00+01:00,-77.21278822483269
2030,sc01,01-27 01:00:00+01:00,-77.21278822483269
2030,sc01,01-27 03:00:00+01:00,-77.21278822483269
2030,sc01,01-27 05:00:00+01:00,-77.21278822483269
2030,sc01,01-27 07:00:00+01:00,-77.21278822483269
2030,sc01,01-27 09:00:00+01:00,-77.21278822483269
2030,sc01,01-27 11:00:00+01:00,-77.21278822483269
2030,sc01,01-27 13:00:00+01:00,-77.21278822483269
2030,sc01,01-27 15:00:00+01:00,-77.21278822483269
2030,sc01,01-27 17:00:00+01:00,-77.21278822483269
2030,sc01,01-27 19:00:00+01:00,-77.21278822483269
2030,sc01,01-27 21:00:00+01:00,-77.21278822483269
2030,sc01,01-27 23:00:00+01:00,-77.21278822483269
2030,sc01,01-28 01:00:00+01:00,-77.21278822483269
2030,sc01,01-28 03:00:00+01:00,-77.21278822483269
2030,sc01,01-28 05:00:00+01:00,-77.21278822483269
2030,sc01,01-28 07:00:00+01:00,-77.21278822483269
2030,sc01,01-28 09:00:00+01:00,-77.21278822483269
2030,sc01,01-28 11:00:00+01:00,-77.21278822483269
2030,sc01,01-28 13:00:00+01:00,-77.21278822483269
2030,sc01,01-28 15:00:00+01:00,-77.21278822483269
2030,sc01,01-28 17:00:00+01:00,-77.21278822483269
2030,sc01,01-28 19:00:00+01:00,-77.21278822483269
2030,sc01,01-28 21:00:00+01:00,-77.21278822483269
2030,sc01,01-28 23:00:00+01:00,-77.21278822483269
2030,sc01,01-29 01:00:00+01:00,-77.21278822483269
2030,sc01,01-29 03:00:00+01:00,-77.21278822483269
2030,sc01,01-29 05:00:00+01:00,-77.21278822483269
2030,sc01,01-29 07:00:00+01:00,-77.21278822483269
2030,sc01,01-29 09:00:00+01:00,-77.21278822483269
2030,sc01,01-29 11:00:00+01:00,-77.21278822483269
2030,sc01,01-29 13:00:00+01:00,-77.21278822483269
2030,sc01,01-29 15:00:00+01:00,-77.21278822483269
2030,sc01,01-29 17:00:00+01:00,-77.21278822483269
2030,sc01,01-29 19:00:00+01:00,-77.21278822483269
2030,sc01,01-29 21:00:00+01:00,-77.21278822483269
2030,sc01,01-29 23:00:00+01:00,-77.21278822483269
2030,sc01,01-30 01:00:00+01:00,-77.21278822483269
2030,sc01,01-30 03:00:00+01:00,-77.21278822483269
2030,sc01,01-30 05:00:00+01:00,-77.21278822483269
2030,sc01,01-30 07:00:00+01:00,-77.21278822483269
2030,sc01,01-30 09:00:00+01:00,-77.21278822483269
2030,sc01,01-30 11:00:00+01:00,-77.21278822483269
2030,sc01,01-30 13:00:00+01:00,-77.21278822483269
2030,sc01,01-30 15:00:00+01:00,-77.21278822483269
2030,sc01,01-30 17:00:00+01:00,-77.21278822483269
2030,sc01,01-30 19:00:00+01:00,-77.21278822483269
2030,sc01,01-30 21:00:00+01:00,-77.21278822483269
2030,sc01,01-30 23:00:00+01:00,-77.21278822483269
2030,sc01,01-31 01:00:00+01:00,-77.21278822483269
2030,sc01,01-31 03:00:00+01:00,-77.21278822483269
2030,sc01,01-31 05:00:00+01:00,-77.21278822483269
2030,sc01,01-31 07:00:00+01:00,-77.21278822483269
2030,sc01,01-31 09:00:00+01:00,-77.21278822483269
2030,sc01,01-31 11:00:00+01:00,-77.21278822483269
2030,sc01,01-31 13:00:00+01:00,-77.21278822483269
2030,sc01,01-31 15:00:00+01:00,-77.21278822483269
2030,sc01,01-31 17:00:00+01:00,-77.21278822483269
2030,sc01,01-31 19:00:00+01:00,-77.21278822483269
2030,sc01,01-31 21:00:00+01:00,-77.21278822483269
2030,sc01,01-31 23:00:00+01:00,-77.21278822483269
2030,sc01,02-01 01:00:00+01:00,-77.21278822483269
2030,sc01,02-01 03:00:00+01:00,-77.21278822483269
2030,sc01,02-01 05:00:00+01:00,-77.21278822483269
2030,sc01,02-01 07:00:00+01:00,-77.21278822483269
2030,sc01,02-01 09:00:00+01:00,-77.21278822483269
2030,sc01,02-01 11:00:00+01:00,-77.21278822483269
2030,sc01,02-01 13:00:00+01:00,-77.21278822483269
2030,sc01,02-01 15:00:00+01:00,-77.21278822483269
2030,sc01,02-01 17:00:00+01:00,-77.21278822483269
2030,sc01,02-01 19:00:00+01:00,-77.21278822483269
2030,sc01,02-01 21:00:00+01:00,-77.21278822483269
2030,sc01,02-01 23:00:00+01:00,-77.21278822483269
2030,sc01,02-02 01:00:00+01:00,-77.21278822483269
2030,sc01,02-02 03:00:00+01:00,-77.21278822483269
2030,sc01,02-02 05:00:00+01:00,-77.21278822483269
2030,sc01,02-02 07:00:00+01:00,-77.21278822483269
2030,sc01,02-02 09:00:00+01:00,-77.21278822483269
2030,sc01,02-02 11:00:00+01:00,-77.21278822483269
2030,sc01,02-02 13:00:00+01:00,-77.21278822483269
2030,sc01,02-02 15:00:00+01:00,-77.21278822483269
2030,sc01,02-02 17:00:00+01:00,-77.21278822483269
2030,sc01,02-02 19:00:00+01:00,-77.21278822483269
2030,sc01,02-02 21:00:00+01:00,-77.21278822483269
2030,sc01,02-02 23:00:00+01:00,-77.21278822483269
2030,sc01,02-03 01:00:00+01:00,-77.21278822483269
2030,sc01,02-03 03:00:00+01:00,-77.21278822483269
2030,sc01,02-03 05:00:00+01:00,-77.21278822483269
2030,sc01,02-03 07:00:00+01:00,-77.21278822483269
2030,sc01,02-03 09:00:00+01:00,-77.21278822483269
2030,sc01,02-03 11:00:00+01:00,-77.21278822483269
2030,sc01,02-03 13:00:00+01:00,-77.21278822483269
2030,sc01,02-03 15:00:00+01:00,-77.21278822483269
2030,sc01,02-03 17:00:00+01:00,-77.21278822483269
2030,sc01,02-03 19:00:00+01:00,-77.21278822483269
2030,sc01,02-03 21:00:00+01:00,-77.21278822483269
2030,sc01,02-03 23:00:00+01:00,-77.21278822483269
2030,sc01,02-04 01:00:00+01:00,-77.21278822483269
2030,sc01,02-04 03:00:00+01:00,-77.21278822483269
2030,sc01,02-04 05:00:00+01:00,-77.21278822483269
2030,sc01,02-04 07:00:00+01:00,-77.21278822483269
2030,sc01,02-04 09:00:00+01:00,-77.21278822483269
2030,sc01,02-04 11:00:00+01:00,-77.21278822483269
2030,sc01,02-04 13:00:00+01:00,-77.21278822483269
2030,sc01,02-04 15:00:00+01:00,-77.21278822483269
2030,sc01,02-04 17:00:00+01:00,-77.21278822483269
2030,sc01,02-04 19:00:00+01:00,-77.21278822483269
2030,sc01,02-04 21:00:00+01:00,-77.21278822483269
2030,sc01,02-04 23:00:00+01:00,-77.21278822483269
2030,sc01,02-05 01:00:00+01:00,-77.21278822483269
2030,sc01,02-05 03:00:00+01:00,-77.21278822483269
2030,sc01,02-05 05:00:00+01:00,-77.21278822483269
2030,sc01,02-05 07:00:00+01:00,-77.21278822483269
2030,sc01,02-05 09:00:00+01:00,-77.21278822483269
2030,sc01,02-05 11:00:00+01:00,-77.21278822483269
2030,sc01,02-05 13:00:00+01:00,-77.21278822483269
2030,sc01,02-05 15:00:00+01:00,-77.21278822483269
2030,sc01,02-05 17:00:00+01:00,-77.21278822483269
2030,sc01,02-05 19:00:00+01:00,-77.21278822483269
2030,sc01,02-05 21:00:00+01:00,-77.21278822483269
2030,sc01,02-05 23:00:00+01:00,-77.21278822483269
2030,sc01,02-06 01:00:00+01:00,-77.21278822483269
2030,sc01,02-06 03:00:00+01:00,-77.21278822483269
2030,sc01,02-06 05:00:00+01:00,-77.21278822483269
2030,sc01,02-06 07:00:00+01:00,-77.21278822483269
2030,sc01,02-06 09:00:00+01:00,-77.21278822483269
2030,sc01,02-06 11:00:00+01:00,-77.21278822483269
2030,sc01,02-06 13:00:00+01:00,-77.21278822483269
2030,sc01,02-06 15:00:00+01:00,-77.21278822483269
2030,sc01,02-06 17:00:00+01:00,-77.21278822483269
2030,sc01,02-06 19:00:00+01:00,-77.21278822483269
2030,sc01,02-06 21:00:00+01:00,-77.21278822483269
2030,sc01,02-06 23:00:00+01:00,-77.21278822483269
2030,sc01,02-07 01:00:00+01:00,-77.21278822483269
2030,sc01,02-07 03:00:00+01:00,-77.21278822483269
2030,sc01,02-07 05:00:00+01:00,-77.21278822483269
2030,sc01,02-07 07:00:00+01:00,-77.21278822483269
2030,sc01,02-07 09:00:00+01:00,-77.21278822483269
2030,sc01,02-07 11:00:00+01:00,-77.21278822483269
2030,sc01,02-07 13:00:00+01:00,-77.21278822483269
2030,sc01,02-07 15:00:00+01:00,-77.21278822483269
2030,sc01,02-07 17:00:00+01:00,-77.21278822483269
2030,sc01,02-07 19:00:00+01:00,-77.21278822483269
2030,sc01,02-07 21:00:00+01:00,-77.21278822483269
2030,sc01,02-07 23:00:00+01:00,-77.21278822483269
2030,sc01,02-08 01:00:00+01:00,-77.21278822483269
2030,sc01,02-08 03:00:00+01:00,-77.21278822483269
2030,sc01,02-08 05:00:00+01:00,-77.21278822483269
2030,sc01,02-08 07:00:00+01:00,-77.21278822483269
2030,sc01,02-08 09:00:00+01:00,-77.21278822483269
2030,sc01,02-08 11:00:00+01:00,-77.21278822483269
2030,sc01,02-08 13:00:00+01:00,-77.21278822483269
2030,sc01,02-08 15:00:00+01:00,-77.21278822483269
